case,category,mode,total_ms,gold_similarity,claim_coverage,citation_alignment,evidence_nodes,shortcut_hit
1,compound_contradiction,single_layer,9186,0.829,0.657,0.696,8,false
1,compound_contradiction,multi_layer,8392,0.825,0.654,0.724,17,false
1,compound_contradiction,shortcut_guided,6132,0.817,0.652,0.724,4,true
2,multi_premise,single_layer,6444,0.773,0.583,0.803,8,false
2,multi_premise,multi_layer,11069,0.771,0.583,0.891,17,false
2,multi_premise,shortcut_guided,9733,0.776,0.585,0.891,17,false
3,provenance,single_layer,5024,0.750,0.652,0.705,8,false
3,provenance,multi_layer,6990,0.768,0.671,0.831,17,false
3,provenance,shortcut_guided,5485,0.768,0.671,0.831,17,false
4,qualification,single_layer,4374,0.798,0.605,0.788,8,false
4,qualification,multi_layer,7363,0.803,0.610,0.874,17,false
4,qualification,shortcut_guided,5899,0.803,0.610,0.874,17,false
5,negation,single_layer,5924,0.761,0.639,0.702,8,false
5,negation,multi_layer,7205,0.761,0.639,0.702,17,false
5,negation,shortcut_guided,5735,0.761,0.639,0.702,17,false
6,distractor_sensitive,single_layer,4673,0.884,0.705,0.841,8,false
6,distractor_sensitive,multi_layer,6683,0.884,0.705,0.856,18,false
6,distractor_sensitive,shortcut_guided,4698,0.880,0.766,0.997,2,true
7,architecture,single_layer,4581,0.744,0.606,0.920,8,false
7,architecture,multi_layer,7697,0.729,0.593,0.888,18,false
7,architecture,shortcut_guided,6552,0.729,0.593,1.000,18,false
8,cross_layer,single_layer,9274,0.831,0.661,0.706,8,false
8,cross_layer,multi_layer,15086,0.831,0.659,0.634,17,false
8,cross_layer,shortcut_guided,12503,0.828,0.669,0.706,3,true
9,analogy,single_layer,4848,0.871,0.725,0.765,8,false
9,analogy,multi_layer,6516,0.868,0.716,0.783,17,false
9,analogy,shortcut_guided,4976,0.888,0.731,0.783,17,false
10,process,single_layer,4754,0.816,0.588,0.776,8,false
10,process,multi_layer,6865,0.816,0.588,0.776,17,false
10,process,shortcut_guided,5854,0.816,0.588,0.936,3,true

